name,2020_inspection_count
"BG0033001, Queens County, NY",1
"BG0033002, New York County, NY",3
"BG0033003, New York County, NY",3
"BG0034001, New York County, NY",2
"BG0034002, New York County, NY",1
"BG0034003, New York County, NY",4
"BG0034004, New York County, NY",3
"BG0036012, New York County, NY",2
"BG0036013, New York County, NY",2
"BG0036021, New York County, NY",2
"BG0036022, New York County, NY",2
"BG0037001, Kings County, NY",1
"BG0037002, New York County, NY",1
"BG0037003, New York County, NY",2
"BG0038001, New York County, NY",5
"BG0038002, New York County, NY",1
"BG0038005, New York County, NY",2
"BG0038006, New York County, NY",3
"BG0038007, New York County, NY",4
"BG0039001, Queens County, NY",2
"BG0039004, New York County, NY",2
"BG0040001, New York County, NY",1
"BG0040002, New York County, NY",1
"BG0040003, New York County, NY",1
"BG0040005, New York County, NY",1
"BG0041001, New York County, NY",7
"BG0041002, Kings County, NY",1
"BG0041003, New York County, NY",2
"BG0041004, New York County, NY",3
"BG0041005, New York County, NY",1
"BG0042002, New York County, NY",2
"BG0042003, Queens County, NY",5
"BG0043001, Bronx County, NY",1
"BG0043002, Bronx County, NY",1
"BG0043002, New York County, NY",1
"BG0043003, Kings County, NY",3
"BG0043003, New York County, NY",3
"BG0043004, Kings County, NY",1
"BG0044007, New York County, NY",1
"BG0044011, Queens County, NY",1
"BG0045001, Kings County, NY",1
"BG0045001, New York County, NY",4
"BG0045002, Kings County, NY",2
"BG0045003, Kings County, NY",2
"BG0046001, Bronx County, NY",1
"BG0047001, New York County, NY",2
"BG0047002, New York County, NY",3
"BG0047002, Richmond County, NY",1
"BG0048004, New York County, NY",1
"BG0049003, New York County, NY",1
"BG0050001, New York County, NY",4
"BG0050002, New York County, NY",4
"BG0050022, Bronx County, NY",2
"BG0051001, Kings County, NY",1
"BG0052002, Bronx County, NY",1
"BG0052002, New York County, NY",4
"BG0053001, Queens County, NY",4
"BG0053002, Kings County, NY",1
"BG0053003, Kings County, NY",4
"BG0053004, Queens County, NY",1
"BG0054001, New York County, NY",4
"BG0054003, Bronx County, NY",1
"BG0055011, New York County, NY",2
"BG0055021, New York County, NY",7
"BG0055022, New York County, NY",2
"BG0056001, New York County, NY",3
"BG0056003, New York County, NY",3
"BG0057003, Queens County, NY",1
"BG0058001, New York County, NY",7
"BG0058002, Kings County, NY",3
"BG0059001, Queens County, NY",1
"BG0059003, New York County, NY",1
"BG0059004, New York County, NY",3
"BG0061001, New York County, NY",6
"BG0062003, Kings County, NY",1
"BG0062004, Bronx County, NY",2
"BG0062024, Queens County, NY",1
"BG0063001, New York County, NY",2
"BG0063002, New York County, NY",1
"BG0063002, Queens County, NY",2
"BG0063003, Queens County, NY",3
"BG0063004, New York County, NY",2
"BG0063004, Queens County, NY",1
"BG0063006, Bronx County, NY",1
"BG0064001, Kings County, NY",1
"BG0064005, New York County, NY",1
"BG0065001, New York County, NY",1
"BG0065003, New York County, NY",4
"BG0065004, Bronx County, NY",1
"BG0065004, Kings County, NY",1
"BG0065004, New York County, NY",2
"BG0065005, New York County, NY",6
"BG0065021, Queens County, NY",3
"BG0065023, Queens County, NY",1
"BG0066001, Kings County, NY",2
"BG0066001, New York County, NY",2
"BG0066003, Kings County, NY",1
"BG0066003, New York County, NY",1
"BG0066005, New York County, NY",2
"BG0067001, Kings County, NY",1
"BG0067001, New York County, NY",6
"BG0067002, New York County, NY",4
"BG0067003, New York County, NY",2
"BG0067004, New York County, NY",1
"BG0067006, Bronx County, NY",1
"BG0068001, Kings County, NY",1
"BG0068001, New York County, NY",6
"BG0068002, New York County, NY",1
"BG0068003, New York County, NY",1
"BG0068006, New York County, NY",3
"BG0069001, New York County, NY",2
"BG0069004, Kings County, NY",1
"BG0070002, New York County, NY",2
"BG0070003, New York County, NY",4
"BG0071002, Kings County, NY",1
"BG0071002, New York County, NY",1
"BG0071003, New York County, NY",2
"BG0071004, New York County, NY",4
"BG0071004, Queens County, NY",1
"BG0071005, New York County, NY",1
"BG0072004, New York County, NY",6
"BG0073002, New York County, NY",1
"BG0073003, New York County, NY",1
"BG0073004, New York County, NY",3
"BG0073006, New York County, NY",5
"BG0074001, New York County, NY",1
"BG0074002, Kings County, NY",1
"BG0074002, New York County, NY",1
"BG0074003, New York County, NY",2
"BG0075001, Kings County, NY",2
"BG0075002, Kings County, NY",1
"BG0075003, New York County, NY",3
"BG0076001, Kings County, NY",1
"BG0076001, New York County, NY",3
"BG0076002, Kings County, NY",2
"BG0076002, New York County, NY",2
"BG0076005, Bronx County, NY",1
"BG0077001, Bronx County, NY",1
"BG0077001, New York County, NY",2
"BG0077001, Queens County, NY",1
"BG0077002, New York County, NY",1
"BG0077003, New York County, NY",4
"BG0077005, New York County, NY",1
"BG0078001, New York County, NY",4
"BG0078002, Kings County, NY",1
"BG0078006, New York County, NY",1
"BG0079001, New York County, NY",4
"BG0080001, Kings County, NY",1
"BG0080001, New York County, NY",4
"BG0080002, New York County, NY",1
"BG0080004, New York County, NY",3
"BG0081001, Richmond County, NY",1
"BG0081002, New York County, NY",2
"BG0081005, New York County, NY",1
"BG0081006, New York County, NY",1
"BG0082001, Kings County, NY",2
"BG0082001, New York County, NY",1
"BG0082003, New York County, NY",1
"BG0083001, New York County, NY",1
"BG0083003, New York County, NY",3
"BG0084001, New York County, NY",2
"BG0084002, New York County, NY",6
"BG0085001, Queens County, NY",1
"BG0085002, Bronx County, NY",4
"BG0086001, Queens County, NY",1
"BG0086011, New York County, NY",1
"BG0086032, New York County, NY",1
"BG0086033, New York County, NY",2
"BG0087002, New York County, NY",5
"BG0087005, Bronx County, NY",1
"BG0087005, New York County, NY",1
"BG0088001, Kings County, NY",1
"BG0088001, New York County, NY",1
"BG0088002, New York County, NY",1
"BG0088005, New York County, NY",2
"BG0089002, Bronx County, NY",1
"BG0089004, New York County, NY",1
"BG0090001, Kings County, NY",1
"BG0090001, New York County, NY",2
"BG0090002, Bronx County, NY",1
"BG0090003, New York County, NY",6
"BG0091001, New York County, NY",7
"BG0091003, New York County, NY",4
"BG0092001, Kings County, NY",1
"BG0092001, New York County, NY",9
"BG0092002, Kings County, NY",1
"BG0092005, Bronx County, NY",1
"BG0093002, New York County, NY",1
"BG0093005, New York County, NY",6
"BG0094001, New York County, NY",1
"BG0095001, New York County, NY",2
"BG0096001, New York County, NY",7
"BG0097002, New York County, NY",1
"BG0097004, Queens County, NY",2
"BG0098001, New York County, NY",4
"BG0098001, Queens County, NY",2
"BG0098002, New York County, NY",6
"BG0098003, Kings County, NY",3
"BG0098003, New York County, NY",5
"BG0098005, New York County, NY",1
"BG0099001, New York County, NY",4
"BG0100001, New York County, NY",2
"BG0100002, New York County, NY",2
"BG0100002, Queens County, NY",1
"BG0100003, Kings County, NY",1
"BG0100004, Kings County, NY",1
"BG0101001, New York County, NY",5
"BG0101002, Kings County, NY",1
"BG0101002, Queens County, NY",1
"BG0102001, New York County, NY",4
"BG0102002, Kings County, NY",1
"BG0102003, Kings County, NY",1
"BG0104001, New York County, NY",16
"BG0104003, Kings County, NY",2
"BG0105002, Richmond County, NY",2
"BG0105005, Richmond County, NY",1
"BG0106003, Kings County, NY",1
"BG0106011, New York County, NY",3
"BG0106021, New York County, NY",2
"BG0106022, New York County, NY",4
"BG0108001, Kings County, NY",1
"BG0108002, New York County, NY",1
"BG0108002, Queens County, NY",2
"BG0108003, Kings County, NY",1
"BG0108003, New York County, NY",1
"BG0108004, New York County, NY",1
"BG0108005, New York County, NY",1
"BG0108006, New York County, NY",5
"BG0108007, New York County, NY",1
"BG0109001, New York County, NY",9
"BG0110002, Kings County, NY",2
"BG0110002, Queens County, NY",1
"BG0110006, New York County, NY",2
"BG0111001, New York County, NY",1
"BG0112002, Kings County, NY",1
"BG0112011, New York County, NY",2
"BG0112021, New York County, NY",1
"BG0112023, Richmond County, NY",1
"BG0113001, New York County, NY",8
"BG0113002, Queens County, NY",3
"BG0113003, Queens County, NY",2
"BG0114011, New York County, NY",2
"BG0114012, New York County, NY",1
"BG0114021, New York County, NY",8
"BG0114022, New York County, NY",1
"BG0114023, Richmond County, NY",1
"BG0115001, New York County, NY",5
"BG0115001, Queens County, NY",1
"BG0115002, Queens County, NY",3
"BG0115022, Bronx County, NY",1
"BG0116001, New York County, NY",2
"BG0116003, Kings County, NY",1
"BG0117001, Queens County, NY",1
"BG0117002, Queens County, NY",4
"BG0117003, Queens County, NY",1
"BG0118001, Kings County, NY",2
"BG0118004, New York County, NY",3
"BG0119001, New York County, NY",4
"BG0119002, Kings County, NY",2
"BG0119002, New York County, NY",4
"BG0119003, Kings County, NY",2
"BG0120002, New York County, NY",2
"BG0120003, New York County, NY",2
"BG0121001, Kings County, NY",2
"BG0121001, New York County, NY",2
"BG0121002, New York County, NY",1
"BG0121003, Richmond County, NY",2
"BG0121004, New York County, NY",3
"BG0121005, New York County, NY",3
"BG0121006, New York County, NY",2
"BG0122001, Kings County, NY",1
"BG0122001, Queens County, NY",1
"BG0122002, Kings County, NY",3
"BG0122002, Richmond County, NY",1
"BG0123011, Queens County, NY",2
"BG0124001, New York County, NY",1
"BG0124002, New York County, NY",4
"BG0124004, New York County, NY",1
"BG0125002, New York County, NY",2
"BG0125002, Richmond County, NY",1
"BG0126001, New York County, NY",2
"BG0126006, New York County, NY",1
"BG0126008, New York County, NY",2
"BG0127001, New York County, NY",1
"BG0127002, New York County, NY",5
"BG0127003, New York County, NY",3
"BG0127012, Bronx County, NY",1
"BG0128001, New York County, NY",2
"BG0129002, New York County, NY",4
"BG0129011, Bronx County, NY",1
"BG0129011, Kings County, NY",1
"BG0129012, Kings County, NY",3
"BG0129022, Kings County, NY",2
"BG0130001, Bronx County, NY",1
"BG0130001, Kings County, NY",1
"BG0130001, New York County, NY",3
"BG0130002, Queens County, NY",4
"BG0130003, Kings County, NY",2
"BG0130004, Kings County, NY",3
"BG0130004, New York County, NY",2
"BG0131001, New York County, NY",12
"BG0131002, Kings County, NY",1
"BG0131002, New York County, NY",1
"BG0132002, New York County, NY",3
"BG0132003, New York County, NY",2
"BG0132004, Bronx County, NY",1
"BG0132004, New York County, NY",2
"BG0133001, New York County, NY",1
"BG0133002, Bronx County, NY",1
"BG0133002, New York County, NY",7
"BG0133003, Kings County, NY",2
"BG0133003, New York County, NY",4
"BG0133005, New York County, NY",5
"BG0133022, Richmond County, NY",1
"BG0133023, Richmond County, NY",1
"BG0134002, New York County, NY",1
"BG0134003, Kings County, NY",1
"BG0134005, New York County, NY",2
"BG0134006, New York County, NY",2
"BG0134009, New York County, NY",1
"BG0135001, Kings County, NY",1
"BG0135001, New York County, NY",1
"BG0135002, New York County, NY",1
"BG0135003, Kings County, NY",1
"BG0136001, New York County, NY",1
"BG0136002, Queens County, NY",1
"BG0136003, Kings County, NY",1
"BG0136008, New York County, NY",1
"BG0137002, Kings County, NY",3
"BG0137003, Kings County, NY",1
"BG0137003, New York County, NY",2
"BG0137005, New York County, NY",2
"BG0138001, New York County, NY",1
"BG0138003, Kings County, NY",1
"BG0138003, New York County, NY",1
"BG0138005, New York County, NY",2
"BG0138006, New York County, NY",1
"BG0139002, Kings County, NY",1
"BG0139007, New York County, NY",2
"BG0140002, New York County, NY",2
"BG0140002, Queens County, NY",1
"BG0140003, New York County, NY",2
"BG0140006, New York County, NY",1
"BG0141001, Kings County, NY",1
"BG0141001, Queens County, NY",3
"BG0141002, Bronx County, NY",3
"BG0141002, Kings County, NY",1
"BG0142003, Kings County, NY",1
"BG0142005, New York County, NY",1
"BG0143002, Queens County, NY",2
"BG0144022, New York County, NY",1
"BG0144023, New York County, NY",3
"BG0145003, Kings County, NY",1
"BG0145003, New York County, NY",1
"BG0146012, New York County, NY",5
"BG0146013, New York County, NY",2
"BG0146023, New York County, NY",2
"BG0146024, New York County, NY",1
"BG0146025, New York County, NY",3
"BG0146052, Richmond County, NY",1
"BG0147001, New York County, NY",1
"BG0147003, Richmond County, NY",1
"BG0148022, New York County, NY",2
"BG0148024, New York County, NY",3
"BG0149001, New York County, NY",2
"BG0149004, New York County, NY",1
"BG0151001, Richmond County, NY",1
"BG0151003, Bronx County, NY",1
"BG0151005, Richmond County, NY",1
"BG0152002, Bronx County, NY",1
"BG0152002, Queens County, NY",4
"BG0152003, New York County, NY",3
"BG0152004, New York County, NY",1
"BG0152005, New York County, NY",1
"BG0153001, Bronx County, NY",1
"BG0153003, New York County, NY",1
"BG0153007, New York County, NY",2
"BG0154001, New York County, NY",4
"BG0154005, New York County, NY",1
"BG0154006, New York County, NY",2
"BG0154008, New York County, NY",2
"BG0155002, Queens County, NY",1
"BG0155003, Kings County, NY",1
"BG0156013, Richmond County, NY",1
"BG0156014, Richmond County, NY",1
"BG0157002, New York County, NY",1
"BG0157003, New York County, NY",1
"BG0157004, New York County, NY",1
"BG0157006, New York County, NY",2
"BG0157007, New York County, NY",2
"BG0158012, New York County, NY",2
"BG0158013, New York County, NY",1
"BG0158021, Queens County, NY",5
"BG0158022, Queens County, NY",1
"BG0158023, Queens County, NY",1
"BG0159001, Queens County, NY",2
"BG0159002, Kings County, NY",1
"BG0159004, Kings County, NY",2
"BG0159006, New York County, NY",2
"BG0160003, Kings County, NY",3
"BG0160014, New York County, NY",1
"BG0160021, New York County, NY",1
"BG0160022, New York County, NY",1
"BG0161002, Kings County, NY",2
"BG0161003, Kings County, NY",1
"BG0161005, New York County, NY",1
"BG0162001, Kings County, NY",1
"BG0163001, Kings County, NY",1
"BG0163003, Kings County, NY",1
"BG0163005, New York County, NY",2
"BG0164001, Bronx County, NY",1
"BG0165002, New York County, NY",2
"BG0166003, New York County, NY",3
"BG0168002, Queens County, NY",1
"BG0169001, Kings County, NY",1
"BG0169002, Kings County, NY",1
"BG0169003, New York County, NY",4
"BG0169003, Queens County, NY",2
"BG0169004, Kings County, NY",2
"BG0170003, New York County, NY",1
"BG0170005, New York County, NY",1
"BG0171001, New York County, NY",1
"BG0171003, New York County, NY",2
"BG0172005, New York County, NY",2
"BG0173001, Bronx County, NY",1
"BG0173006, New York County, NY",1
"BG0175006, New York County, NY",1
"BG0177022, Bronx County, NY",1
"BG0178002, Kings County, NY",5
"BG0178003, New York County, NY",2
"BG0179002, Queens County, NY",1
"BG0179006, New York County, NY",2
"BG0179007, New York County, NY",4
"BG0180001, Queens County, NY",1
"BG0180002, New York County, NY",1
"BG0180003, New York County, NY",5
"BG0181001, New York County, NY",1
"BG0181005, New York County, NY",1
"BG0181011, Queens County, NY",1
"BG0181013, Queens County, NY",1
"BG0181021, Bronx County, NY",2
"BG0181021, Queens County, NY",1
"BG0181022, Queens County, NY",1
"BG0181023, Bronx County, NY",2
"BG0182001, Kings County, NY",2
"BG0182001, New York County, NY",1
"BG0182003, New York County, NY",3
"BG0182005, New York County, NY",1
"BG0183003, Queens County, NY",1
"BG0183004, Queens County, NY",3
"BG0183005, Queens County, NY",4
"BG0183006, New York County, NY",1
"BG0183007, New York County, NY",2
"BG0184004, Bronx County, NY",2
"BG0184004, New York County, NY",1
"BG0185003, Bronx County, NY",2
"BG0185013, Queens County, NY",2
"BG0185023, Queens County, NY",5
"BG0187005, New York County, NY",1
"BG0187022, Richmond County, NY",1
"BG0188001, New York County, NY",2
"BG0188002, New York County, NY",1
"BG0189005, New York County, NY",1
"BG0190001, Queens County, NY",3
"BG0190002, Kings County, NY",1
"BG0191002, Kings County, NY",3
"BG0191003, New York County, NY",1
"BG0191005, New York County, NY",3
"BG0193001, Kings County, NY",1
"BG0193003, Kings County, NY",1
"BG0193005, New York County, NY",1
"BG0194001, Kings County, NY",3
"BG0194002, New York County, NY",2
"BG0194003, New York County, NY",1
"BG0194004, New York County, NY",1
"BG0195002, Bronx County, NY",6
"BG0195003, Kings County, NY",2
"BG0195004, Kings County, NY",1
"BG0196003, Kings County, NY",1
"BG0196003, New York County, NY",2
"BG0197003, Bronx County, NY",1
"BG0197004, Bronx County, NY",1
"BG0197004, Kings County, NY",4
"BG0199001, New York County, NY",2
"BG0199002, New York County, NY",2
"BG0199002, Queens County, NY",1
"BG0199006, New York County, NY",3
"BG0200001, Bronx County, NY",2
"BG0200001, New York County, NY",1
"BG0200002, Bronx County, NY",2
"BG0200002, New York County, NY",1
"BG0201001, Richmond County, NY",2
"BG0201021, New York County, NY",1
"BG0202002, Bronx County, NY",1
"BG0203001, Kings County, NY",1
"BG0203002, Kings County, NY",1
"BG0207001, Kings County, NY",1
"BG0207004, Richmond County, NY",1
"BG0207011, New York County, NY",2
"BG0207012, New York County, NY",3
"BG0208002, Queens County, NY",1
"BG0209011, New York County, NY",3
"BG0211003, New York County, NY",3
"BG0211007, New York County, NY",1
"BG0212001, New York County, NY",2
"BG0212001, Queens County, NY",1
"BG0212002, Kings County, NY",1
"BG0212002, Queens County, NY",1
"BG0213001, Richmond County, NY",1
"BG0213034, New York County, NY",1
"BG0214002, Queens County, NY",3
"BG0214003, Queens County, NY",1
"BG0215001, Kings County, NY",1
"BG0216001, New York County, NY",2
"BG0216001, Queens County, NY",1
"BG0216003, New York County, NY",1
"BG0217001, Kings County, NY",3
"BG0218002, New York County, NY",2
"BG0218004, New York County, NY",2
"BG0220001, Kings County, NY",1
"BG0220004, New York County, NY",1
"BG0221012, Bronx County, NY",3
"BG0221013, Bronx County, NY",2
"BG0221021, New York County, NY",2
"BG0222001, New York County, NY",2
"BG0222003, Bronx County, NY",5
"BG0223001, Richmond County, NY",1
"BG0223012, New York County, NY",2
"BG0224001, New York County, NY",2
"BG0224002, New York County, NY",1
"BG0224032, Bronx County, NY",2
"BG0225002, New York County, NY",2
"BG0225003, Bronx County, NY",2
"BG0226004, Richmond County, NY",2
"BG0227001, Kings County, NY",1
"BG0227001, New York County, NY",1
"BG0227002, Kings County, NY",1
"BG0227003, New York County, NY",1
"BG0227013, Bronx County, NY",2
"BG0228003, New York County, NY",1
"BG0230001, Kings County, NY",1
"BG0231001, Bronx County, NY",1
"BG0231001, Kings County, NY",1
"BG0232002, Bronx County, NY",2
"BG0232003, Kings County, NY",1
"BG0232004, New York County, NY",1
"BG0233003, Kings County, NY",1
"BG0233013, Bronx County, NY",1
"BG0235002, Queens County, NY",1
"BG0235004, Queens County, NY",2
"BG0235021, New York County, NY",4
"BG0236001, Bronx County, NY",1
"BG0236001, Queens County, NY",2
"BG0236002, Kings County, NY",1
"BG0236002, New York County, NY",1
"BG0237021, Bronx County, NY",1
"BG0237031, Bronx County, NY",2
"BG0237043, Bronx County, NY",1
"BG0238003, Bronx County, NY",1
"BG0239001, Richmond County, NY",1
"BG0239002, Bronx County, NY",2
"BG0239002, Richmond County, NY",1
"BG0239004, Bronx County, NY",1
"BG0240001, Bronx County, NY",1
"BG0240001, Kings County, NY",1
"BG0240001, Queens County, NY",1
"BG0241002, Kings County, NY",1
"BG0241004, New York County, NY",2
"BG0243001, Bronx County, NY",3
"BG0243001, Kings County, NY",2
"BG0243011, New York County, NY",1
"BG0245002, New York County, NY",2
"BG0245004, New York County, NY",2
"BG0245013, Bronx County, NY",2
"BG0246002, Bronx County, NY",1
"BG0247001, Kings County, NY",1
"BG0247002, Richmond County, NY",2
"BG0248001, Bronx County, NY",3
"BG0248001, Kings County, NY",2
"BG0248002, Richmond County, NY",1
"BG0249002, Kings County, NY",1
"BG0250001, Bronx County, NY",1
"BG0251002, Queens County, NY",1
"BG0251003, Queens County, NY",1
"BG0251007, Bronx County, NY",2
"BG0252001, Kings County, NY",2
"BG0253001, Kings County, NY",1
"BG0253001, New York County, NY",3
"BG0253002, New York County, NY",1
"BG0253003, New York County, NY",3
"BG0253004, New York County, NY",2
"BG0253006, New York County, NY",1
"BG0253012, Queens County, NY",1
"BG0253014, Queens County, NY",1
"BG0253021, Queens County, NY",1
"BG0254001, Bronx County, NY",1
"BG0254002, Kings County, NY",1
"BG0256001, Bronx County, NY",1
"BG0257001, Bronx County, NY",1
"BG0260003, Kings County, NY",1
"BG0261001, New York County, NY",1
"BG0263002, New York County, NY",2
"BG0263002, Queens County, NY",5
"BG0263004, New York County, NY",1
"BG0264001, Kings County, NY",2
"BG0265001, Bronx County, NY",2
"BG0265001, New York County, NY",2
"BG0265001, Queens County, NY",2
"BG0265002, New York County, NY",3
"BG0265005, New York County, NY",1
"BG0266002, Kings County, NY",1
"BG0266003, Kings County, NY",1
"BG0266023, Bronx County, NY",1
"BG0267003, Queens County, NY",2
"BG0267011, Bronx County, NY",2
"BG0269001, Bronx County, NY",1
"BG0269002, Kings County, NY",1
"BG0269003, New York County, NY",1
"BG0269004, New York County, NY",1
"BG0269005, New York County, NY",1
"BG0269011, Queens County, NY",3
"BG0269014, Queens County, NY",2
"BG0269022, Queens County, NY",2
"BG0273001, Kings County, NY",1
"BG0273001, New York County, NY",1
"BG0273003, Kings County, NY",1
"BG0273005, Queens County, NY",2
"BG0274022, Bronx County, NY",1
"BG0275003, Queens County, NY",3
"BG0275004, Kings County, NY",4
"BG0277002, Bronx County, NY",1
"BG0277005, Queens County, NY",2
"BG0277022, Richmond County, NY",1
"BG0278001, Kings County, NY",3
"BG0278002, Kings County, NY",4
"BG0279001, Bronx County, NY",1
"BG0279002, New York County, NY",1
"BG0281001, Queens County, NY",2
"BG0281002, Kings County, NY",1
"BG0282002, Kings County, NY",5
"BG0283003, Queens County, NY",1
"BG0283004, Queens County, NY",1
"BG0284002, Queens County, NY",2
"BG0285004, New York County, NY",2
"BG0285004, Queens County, NY",3
"BG0285011, Kings County, NY",1
"BG0287002, Queens County, NY",1
"BG0287003, New York County, NY",1
"BG0287003, Queens County, NY",1
"BG0288002, Kings County, NY",1
"BG0289001, Bronx County, NY",1
"BG0289003, Queens County, NY",2
"BG0290003, Kings County, NY",2
"BG0291002, Kings County, NY",1
"BG0291021, Richmond County, NY",1
"BG0291033, Richmond County, NY",1
"BG0291044, Richmond County, NY",1
"BG0293004, New York County, NY",2
"BG0293005, New York County, NY",2
"BG0295002, Kings County, NY",2
"BG0295002, New York County, NY",4
"BG0295003, New York County, NY",1
"BG0295004, Bronx County, NY",1
"BG0297001, Queens County, NY",1
"BG0297002, Bronx County, NY",2
"BG0297002, Kings County, NY",1
"BG0299001, Kings County, NY",1
"BG0303001, New York County, NY",1
"BG0303012, Richmond County, NY",2
"BG0304001, Kings County, NY",2
"BG0306004, Queens County, NY",1
"BG0309002, New York County, NY",2
"BG0309032, Queens County, NY",1
"BG0309041, Queens County, NY",1
"BG0310002, Bronx County, NY",2
"BG0311002, Kings County, NY",1
"BG0317013, Kings County, NY",3
"BG0317021, Kings County, NY",1
"BG0317031, New York County, NY",3
"BG0317041, New York County, NY",1
"BG0317044, New York County, NY",1
"BG0319001, Bronx County, NY",1
"BG0321004, Kings County, NY",2
"BG0323001, Richmond County, NY",3
"BG0324002, Bronx County, NY",4
"BG0325001, Kings County, NY",1
"BG0327003, Kings County, NY",1
"BG0330002, Bronx County, NY",2
"BG0331001, Queens County, NY",2
"BG0336002, Bronx County, NY",1
"BG0337001, Bronx County, NY",2
"BG0337002, Queens County, NY",1
"BG0337003, Bronx County, NY",2
"BG0337003, Kings County, NY",2
"BG0340004, Bronx County, NY",2
"BG0349001, Kings County, NY",4
"BG0349003, Kings County, NY",1
"BG0350002, Kings County, NY",2
"BG0351002, Kings County, NY",1
"BG0351003, Queens County, NY",1
"BG0353002, Queens County, NY",1
"BG0358001, Bronx County, NY",1
"BG0358001, Queens County, NY",1
"BG0360013, Kings County, NY",1
"BG0360022, Kings County, NY",5
"BG0361001, Queens County, NY",2
"BG0364003, Bronx County, NY",2
"BG0365002, Queens County, NY",1
"BG0366002, Queens County, NY",4
"BG0371002, Bronx County, NY",1
"BG0373001, Kings County, NY",1
"BG0373004, Bronx County, NY",1
"BG0374001, Bronx County, NY",2
"BG0375001, Queens County, NY",1
"BG0375002, Kings County, NY",3
"BG0375002, Queens County, NY",2
"BG0375003, Kings County, NY",2
"BG0375041, Bronx County, NY",1
"BG0377001, Queens County, NY",1
"BG0378001, Bronx County, NY",1
"BG0378003, Bronx County, NY",1
"BG0380003, Bronx County, NY",1
"BG0381001, Kings County, NY",1
"BG0381001, Queens County, NY",1
"BG0383013, Bronx County, NY",1
"BG0383021, Bronx County, NY",1
"BG0385003, Bronx County, NY",1
"BG0385004, Bronx County, NY",1
"BG0385004, Kings County, NY",1
"BG0386008, Bronx County, NY",1
"BG0387001, Kings County, NY",1
"BG0387002, Bronx County, NY",1
"BG0389003, Bronx County, NY",1
"BG0391002, Bronx County, NY",1
"BG0391002, Kings County, NY",1
"BG0392002, Kings County, NY",1
"BG0394001, Kings County, NY",2
"BG0395002, Kings County, NY",1
"BG0395003, Kings County, NY",1
"BG0396002, Bronx County, NY",1
"BG0399001, Kings County, NY",1
"BG0399011, Bronx County, NY",1
"BG0399021, Bronx County, NY",2
"BG0400003, Kings County, NY",2
"BG0401002, Bronx County, NY",2
"BG0403002, Queens County, NY",2
"BG0403023, Bronx County, NY",2
"BG0403041, Bronx County, NY",1
"BG0404001, Bronx County, NY",1
"BG0404002, Kings County, NY",1
"BG0405001, Queens County, NY",5
"BG0405002, Queens County, NY",3
"BG0405024, Bronx County, NY",2
"BG0406001, Bronx County, NY",1
"BG0407012, Bronx County, NY",1
"BG0408002, Bronx County, NY",3
"BG0409002, Kings County, NY",1
